Date,Open,High,Low,Settle,Volume
03/01/2000,7188,7210,6767,6804.5,58905
04/01/2000,6800,6800,6556,6630,72352
05/01/2000,6467,6622,6463,6532,68964
06/01/2000,6524,6577,6437.5,6505.5,58525
07/01/2000,6560,6835,6549,6830,69037
10/01/2000,6930,7019,6902,6960,54506
11/01/2000,6945,6981,6861,6938.5,58944
12/01/2000,6860,6946.5,6828.5,6938,50030
13/01/2000,6940,7145,6923.5,7009,67693
14/01/2000,7053,7246,7053,7229,63855
17/01/2000,7264.5,7326,7146.5,7307,47015
18/01/2000,7307,7338,7090,7123,68585
19/01/2000,7090,7149,7015,7128,65542
20/01/2000,7216,7227.5,7107.5,7140,51583
21/01/2000,7070,7133,6963,7012.5,56213
24/01/2000,7060,7120,6947,6950,43181
25/01/2000,6881,6933,6842,6891,54570
26/01/2000,6916,7004.5,6859,6989.5,61399
27/01/2000,7024,7197,6963,7161,64044
28/01/2000,7140,7244.5,7065,7095,62352
31/01/2000,7029,7032.5,6834,6858,59345
01/02/2000,6961,7055,6919,7041,53600
02/02/2000,7104,7181,7051,7179.5,44116
03/02/2000,7200,7368,7152.5,7358,62455
04/02/2000,7417.5,7474,7346,7400,50601
07/02/2000,7401,7427.5,7268,7315.5,48875
08/02/2000,7308,7578,7300,7542,57321
09/02/2000,7564,7686,7536,7659,57406
10/02/2000,7546,7693,7528.5,7671,51401
11/02/2000,7748,7835,7596,7710,66209
14/02/2000,7601,7683.5,7565,7648,37384
15/02/2000,7659,7706.5,7430,7436.5,50442
16/02/2000,7565,7585,7365,7526.5,63912
17/02/2000,7524,7652,7405.5,7637,62288
18/02/2000,7608,7677,7563.5,7596,52498
21/02/2000,7483,7573,7460,7567,28336
22/02/2000,7560,7733,7551,7629.5,58687
23/02/2000,7659.5,7786,7649,7711.5,49125
24/02/2000,7794,7824,7588,7640,53762
25/02/2000,7758,7793,7665,7785.5,48801
28/02/2000,7740,7765,7501,7590,58845
29/02/2000,7650,7716.5,7624,7688,36053
01/03/2000,7740,7778,7627,7727,46705
02/03/2000,7739.5,7960,7635.5,7955,47518
03/03/2000,7940,8033,7890.5,7970.5,57605
06/03/2000,7975,8012,7935,7979,53245
07/03/2000,8039,8136,7925.5,8063,73632
08/03/2000,8003,8116,7955,7980,70079
09/03/2000,8059,8075,7881.5,7967,63411
10/03/2000,8050,8059,7956.5,7989,35496
13/03/2000,7935,7937,7645,7693,78699
14/03/2000,7730,7755,7646,7660,74868
15/03/2000,7560,7593,7412,7446,102857
16/03/2000,7519,7640.5,7467.5,7596.5,74535
17/03/2000,7785,7828,7736,7735.64,34699
20/03/2000,7817,7931,7782.5,7919,26151
21/03/2000,7898,7906.5,7786.5,7858,37868
22/03/2000,7926,7997.5,7831.5,7848,38590
23/03/2000,7887,7910,7717,7801,41364
24/03/2000,7853,7963,7795,7952,34136
27/03/2000,7960,7980,7877.5,7947,27384
28/03/2000,7940,8083,7932,7973,38467
29/03/2000,7962,8011.5,7907,7936,28815
30/03/2000,7830,7842,7661,7698,51158
31/03/2000,7670,7753,7565,7605,36967
03/04/2000,7611,7683,7443.5,7474.5,41594
04/04/2000,7520,7608,7500,7582,34325
05/04/2000,7517,7577.5,7245,7346,76046
06/04/2000,7407,7514,7352,7485.5,37656
07/04/2000,7520,7560,7426.5,7547.5,34853
10/04/2000,7605,7640,7537.5,7565,28295
11/04/2000,7412,7512.5,7405,7475,38350
12/04/2000,7505,7547.5,7441.5,7450,32861
13/04/2000,7350,7478,7323,7474,38886
14/04/2000,7380,7435,7189,7225,49027
17/04/2000,6980,7215,6940,7204,55318
18/04/2000,7274,7285.5,7118.5,7247,45185
19/04/2000,7324.5,7324.5,7165,7232.5,37552
20/04/2000,7232,7256.5,7192,7220,21800
25/04/2000,7191,7380.5,7116,7323,29334
26/04/2000,7370,7473,7333.5,7401,28255
27/04/2000,7405,7444.5,7173,7220,39405
28/04/2000,7320,7461,7291,7461,29642
02/05/2000,7495,7591.5,7490,7580,30595
03/05/2000,7523,7598.5,7375,7380,39185
04/05/2000,7387,7449,7341,7408.5,35100
05/05/2000,7430,7529.5,7355,7526,32405
08/05/2000,7531,7552,7403,7422.5,27659
09/05/2000,7410,7425.5,7247.5,7277,41096
10/05/2000,7250,7352,7118,7142,45264
11/05/2000,7083,7299,7031.5,7293,48286
12/05/2000,7291,7350,7219.5,7280.5,31997
15/05/2000,7294,7294,7209,7220,27479
16/05/2000,7282,7420,7268.5,7403,32895
17/05/2000,7366,7366,7210,7229,33781
18/05/2000,7205,7277,7170,7175,38143
19/05/2000,7168,7168,6968.5,7010.5,50071
22/05/2000,7003,7055,6835.5,6935.5,52484
23/05/2000,6992,7033.5,6893,6947,42154
24/05/2000,6831,6884,6811.5,6864,41446
25/05/2000,6913,7012.5,6898,6962,33607
26/05/2000,6882,6988.5,6841,6958,35181
29/05/2000,7014,7042.5,6994.5,7036,11592
30/05/2000,7055,7167.5,7047,7129,29683
31/05/2000,7215,7215,7112,7130,30372
01/06/2000,7170,7290,7159.5,7278,19045
02/06/2000,7266,7470,7255,7445,35739
05/06/2000,7446,7455.5,7361,7411,41392
06/06/2000,7420,7475,7306,7362,42449
07/06/2000,7320,7334,7251.5,7297,44635
08/06/2000,7338,7398,7216,7273,51258
