Date,Open,High,Low,Settle,Volume
03/01/2000,5070,5075,4858,4862,23334
04/01/2000,4765,4802,4642,4672,53788
05/01/2000,4551,4639,4533,4562,41731
06/01/2000,4572,4594,4486,4535,30916
07/01/2000,4540,4696,4540,4684,39129
10/01/2000,4764,4790,4730,4747,30233
11/01/2000,4752,4759,4655,4708,21379
12/01/2000,4661,4677,4618,4664,33596
13/01/2000,4658,4780,4658,4711,27320
14/01/2000,4750,4899,4750,4897,40770
17/01/2000,4920,4932,4833,4927,30413
18/01/2000,4910,4919,4776,4781,31740
19/01/2000,4748,4800,4714,4769,41943
20/01/2000,4830,4844,4780,4792,29251
21/01/2000,4753,4790,4696,4710,40469
24/01/2000,4741,4832,4680,4700,39087
25/01/2000,4650,4711,4633,4690,45864
26/01/2000,4733,4762,4688,4733,32335
27/01/2000,4784,4843,4727,4832,35476
28/01/2000,4816,4880,4763,4763,34363
31/01/2000,4735,4755,4656,4687,34444
01/02/2000,4762,4834,4742,4830,47828
02/02/2000,4830,4930,4816,4924,29365
03/02/2000,4951,5079,4928,5053,42847
04/02/2000,5112,5169,5070,5120,44139
07/02/2000,5125,5147,5035,5058,25023
08/02/2000,5053,5224,5053,5192,26845
09/02/2000,5205,5269,5162,5171,35844
10/02/2000,5123,5212,5112,5177,24587
11/02/2000,5215,5271,5126,5265,34418
14/02/2000,5200,5207,5148,5151,23828
15/02/2000,5178,5222,5035,5044,35685
16/02/2000,5131,5140,5015,5104,31660
17/02/2000,5100,5173,5043,5129,38626
18/02/2000,5143,5177,5084,5120,19458
21/02/2000,5020,5056,4998,5055,24924
22/02/2000,5032,5122,4997,5069,33272
23/02/2000,5061,5116,5060,5105,30622
24/02/2000,5165,5196,5084,5095,26487
25/02/2000,5171,5258,5152,5241,32459
28/02/2000,5220,5238,5072,5125,49027
29/02/2000,5175,5228,5155,5210,27444
01/03/2000,5245,5258,5177,5250,48689
02/03/2000,5278,5430,5232,5425,32143
03/03/2000,5415,5495,5381,5465,42398
06/03/2000,5478,5488,5438,5476,31415
07/03/2000,5467,5525,5393,5425,36643
08/03/2000,5392,5432,5342,5363,30328
09/03/2000,5400,5408,5312,5362,42945
10/03/2000,5436,5457,5391,5424,52973
13/03/2000,5370,5378,5193,5227,75565
14/03/2000,5296,5297,5210,5230,102813
15/03/2000,5166,5175,5070,5083,107390
16/03/2000,5138,5220,5120,5187,72459
17/03/2000,5311,5339,5291,5323,23278
20/03/2000,5250,5311,5230,5310,26332
21/03/2000,5289,5298,5200,5289,30180
