Date,Open,High,Low,Settle,Volume
03/01/2000,1489,1496,1452.25,1466.75,61938
04/01/2000,1467,1468.75,1409.5,1411.75,64048
05/01/2000,1411.5,1427.25,1385,1413.5,73121
06/01/2000,1411,1426.25,1395.75,1404,67883
07/01/2000,1403.75,1461.5,1397.5,1459.75,60545
10/01/2000,1459.75,1481,1455.25,1475,59343
11/01/2000,1473.75,1475,1447,1454.25,70095
12/01/2000,1453.5,1459.5,1438.75,1442,62507
13/01/2000,1441.5,1466.75,1441.25,1459,57381
14/01/2000,1461.5,1485,1455.5,1478,57407
18/01/2000,1477.75,1480.25,1462,1469.5,65451
19/01/2000,1468.75,1474,1450.25,1472.5,57785
20/01/2000,1472.75,1485,1448,1456.25,77206
21/01/2000,1455.25,1463.25,1449.25,1454.25,58520
24/01/2000,1454,1468.5,1403.25,1411.75,71537
25/01/2000,1411,1424.75,1397.5,1418.5,76339
26/01/2000,1417.5,1422.75,1408.25,1415.5,58344
27/01/2000,1412.5,1428.5,1388,1409.75,71787
28/01/2000,1411,1420,1361.25,1366.5,70009
31/01/2000,1365.25,1403,1357,1401,64069
01/02/2000,1402.75,1421.75,1391.25,1416.75,58194
02/02/2000,1416.75,1429.5,1410,1415.5,52668
03/02/2000,1415.75,1438.25,1405.25,1436.5,75186
04/02/2000,1436.5,1449.5,1426.5,1431.5,60837
07/02/2000,1429.5,1433.25,1419,1427.25,60552
08/02/2000,1427.25,1449.5,1425.5,1446.25,62718
09/02/2000,1448,1454.75,1417,1418.25,77382
10/02/2000,1418.75,1429.25,1412.25,1419.25,68742
11/02/2000,1418.5,1426.5,1384.25,1396.75,72327
14/02/2000,1396.25,1403.5,1386.75,1398.75,66869
15/02/2000,1399,1414.75,1381,1410,79711
16/02/2000,1410,1413.5,1390.25,1392.75,70138
17/02/2000,1392.75,1407,1384.25,1385.5,63146
18/02/2000,1386.75,1393.5,1349,1353.25,63491
22/02/2000,1356,1363.75,1336.5,1349,79195
23/02/2000,1349.25,1374.25,1344.5,1365.25,69610
24/02/2000,1365,1370,1331,1355.25,81157
25/02/2000,1355.75,1366.5,1331,1338,73993
28/02/2000,1337.5,1366,1327.5,1347.75,82740
29/02/2000,1349.25,1374,1348,1372,66797
01/03/2000,1372.25,1388.75,1371,1385,60887
02/03/2000,1384.25,1390.5,1372.5,1385,62489
03/03/2000,1384.75,1414.5,1383.5,1410.75,65432
06/03/2000,1411.5,1412.75,1386.25,1395,59860
07/03/2000,1394.5,1404.5,1351,1351.75,85263
08/03/2000,1352.75,1376,1348.5,1366.25,73911
09/03/2000,1367,1405,1357.5,1404.25,7153
10/03/2000,1406,1415.5,1394.25,1399.5,3192
13/03/2000,1398,1415.75,1364.75,1383.5,2025
14/03/2000,1380.25,1395.75,1359.5,1362.25,1207
15/03/2000,1361.75,1398.75,1356.75,1395.25,1377
16/03/2000,1396,1469,1395.75,1459,1129
17/03/2000,1477.25,1497.75,1468.25,1489,65580
20/03/2000,1486,1490.5,1466.75,1478,58295
21/03/2000,1477.5,1514.25,1463.25,1507.5,69275
22/03/2000,1508,1525.25,1504,1517.5,63803
23/03/2000,1517.25,1553,1510,1544,68603
24/03/2000,1542.75,1574.25,1535.25,1555.5,67498
27/03/2000,1552.25,1554.5,1536,1538.5,48062
28/03/2000,1538,1549.5,1523,1530.25,60995
29/03/2000,1529.25,1541.25,1515,1530.5,60101
30/03/2000,1530,1535,1493.5,1504.25,67211
31/03/2000,1505.25,1538.75,1501,1515.25,58120
03/04/2000,1514,1528.75,1502,1528.25,69287
04/04/2000,1528.25,1544.75,1431,1519.5,95221
05/04/2000,1516,1521.75,1491.25,1505.5,78646
06/04/2000,1502,1530.75,1501.5,1516.5,63182
07/04/2000,1521,1535,1513.75,1529,59598
10/04/2000,1530.5,1544,1518,1521.5,71317
11/04/2000,1520.25,1529.25,1497.5,1519,87236
12/04/2000,1518.5,1524.5,1475,1476.75,80050
13/04/2000,1476.5,1492.5,1451.25,1456,82181
14/04/2000,1456.75,1462.75,1347,1367.5,90233
17/04/2000,1366.75,1414.5,1342.25,1412.75,88944
18/04/2000,1413.25,1455.5,1401,1452.75,90298
19/04/2000,1450.25,1460,1435.25,1440.25,79634
20/04/2000,1440,1447,1431.5,1447.25,52448
